"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"52","Que nuestra lucha para que se vuelva a estudiar Cívica, Ética y Lógica tenga éxito. https://t.co/Ir9y3gigec",FALSE,1053,NA,2019-09-26 19:00:20,FALSE,NA,"1177296865894785024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",348,FALSE,FALSE,NA,NA
"53","Junto a Alfredo Gregor y Galo Roggiero, cuando construíamos el Estadio Monumental. Ya no están con nosotros, pero l… https://t.co/pM8kGSLfaE",FALSE,1562,NA,2019-09-26 17:11:12,TRUE,NA,"1177269400547856385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",417,FALSE,FALSE,NA,NA
"54","Gracias! https://t.co/dvStuG9yV8 https://t.co/1yruzic5RJ",FALSE,384,NA,2019-09-23 16:18:53,FALSE,NA,"1176169072435834881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",139,FALSE,FALSE,NA,NA
"55","Me alegra que cada vez más Alcaldes  comprendan, que les entregarán las rentas y el IVA que les corresponden a sus… https://t.co/oLaKCUBwJ9",FALSE,244,NA,2019-09-22 20:24:45,TRUE,NA,"1175868559727255552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",107,FALSE,FALSE,NA,NA
"56","¡Regresa sano! <U+0001F64F><U+0001F3FB> https://t.co/NMY5a9cL3G",FALSE,358,NA,2019-09-14 19:05:06,FALSE,NA,"1172949410738790407",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",106,FALSE,FALSE,NA,NA
"57","Retener el dinero de las Rentas e IVA que pertenece a Municipios, Prefecturas y Juntas Parroquiales, afecta a todos… https://t.co/8iY69jxoG4",FALSE,436,NA,2019-09-12 00:27:36,TRUE,NA,"1171943406656008192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",176,FALSE,FALSE,NA,NA
"58","Algo de lo que debemos hacer para tener prosperidad... https://t.co/teRtIkbwZt",FALSE,750,NA,2019-09-11 00:45:54,FALSE,NA,"1171585622705934336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",334,FALSE,FALSE,NA,NA
"59","2/2 Lo que sí rechazo y terminantemente es que se vendan empresas como Petroecuador, las Eléctricas y las Telefónic… https://t.co/6t4kfY5wVW",FALSE,262,"jaimenebotsaadi",2019-09-10 02:41:34,TRUE,"1171252341452001287","1171252343180017664","24776620","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",124,FALSE,FALSE,NA,NA
"60","1/2 Pido a @EcuavisaInforma  rectificar el haber afirmado que yo rechazo las concesiones relacionadas con las empre… https://t.co/po6JoEkB0o",FALSE,357,NA,2019-09-10 02:41:33,TRUE,NA,"1171252341452001287",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",219,FALSE,FALSE,NA,NA
"61","#DíaMundialDeLaAgricultura https://t.co/jniidUQGHU",FALSE,233,NA,2019-09-09 19:21:20,FALSE,NA,"1171141557434630146",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",109,FALSE,FALSE,NA,NA
"62","Un abrazo solidario a los familiares de Alfredo Albán Quiroz, amigo querido de todos los Javerianos. https://t.co/cL7fCTrqbI",FALSE,315,NA,2019-08-31 16:05:53,FALSE,NA,"1167830880204861440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",125,FALSE,FALSE,NA,NA
"63","Mi lucha por rescatar y hacer próspero el agro ecuatoriano ha sido permanente y es indeclinable. https://t.co/ZMA6F0mfqU",FALSE,1551,NA,2019-08-30 18:04:20,FALSE,NA,"1167498298334371847",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",549,FALSE,FALSE,NA,NA
"64","Lamento el fallecimiento de un viejo  amigo, Gonzalo Pozo, gloria del fútbol nacional y del Papá @Aucas45. Un abraz… https://t.co/MAXBrzHyOu",FALSE,351,NA,2019-08-28 13:09:30,TRUE,NA,"1166699329349988352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",95,FALSE,FALSE,NA,NA
"65","Ni los niños, ni los jóvenes, ni la Fundación Deportiva Carlos Pérez tienen porque agradecerme; servirlos es mi deb… https://t.co/3n7RYnyavN",FALSE,395,NA,2019-08-26 21:21:29,TRUE,NA,"1166098361491087365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",106,FALSE,FALSE,NA,NA
"66","Agradezco al medio @LaPosta_Ecu y a @AnderssonBoscan por esta entretenida entrevista. 

https://t.co/QvsEyWgu8k https://t.co/gfVFC87WFo",FALSE,506,NA,2019-08-21 17:50:28,FALSE,NA,"1164233318931603456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",118,FALSE,FALSE,NA,NA
"67","En vivo <U+0001F534> https://t.co/cIYZDZ3MTL https://t.co/VciUjiD3ha",FALSE,168,NA,2019-08-21 13:56:01,FALSE,NA,"1164174319037104128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",39,FALSE,FALSE,NA,NA
"68","Mañana en @LaPosta_Ecu https://t.co/uhSMCNDavf",FALSE,571,NA,2019-08-21 01:47:32,FALSE,NA,"1163990990773989388",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",115,FALSE,FALSE,NA,NA
"69","La seguridad ciudadana se debe y se puede lograr https://t.co/GEEeLCPOfN",FALSE,629,NA,2019-08-12 22:11:46,FALSE,NA,"1161037587546611718",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",305,FALSE,FALSE,NA,NA
"70","https://t.co/RE5YlifGMS",FALSE,335,NA,2019-08-10 13:46:50,FALSE,NA,"1160185742066376705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaimenebotsaadi",119,FALSE,FALSE,NA,NA
"71","En Machala, con Alcaldes y Presidentes de las Juntas Parroquiales de El Oro y Loja. Seguimos cumpliendo nuestro com… https://t.co/ThkuDlHuLO",FALSE,471,NA,2019-08-09 16:07:04,TRUE,NA,"1159858644789452800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",153,FALSE,FALSE,NA,NA
"72","En Ambato con 15 Alcaldes de Cotopaxi, Chimborazo, Tungurahua y Pastaza, listos para poner en marcha nuestros progr… https://t.co/yGhsvzJYMT",FALSE,347,NA,2019-08-08 12:35:30,TRUE,NA,"1159443012407222273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jaimenebotsaadi",119,FALSE,FALSE,NA,NA
